146.19.84.0/24,NL,NL-DR,Meppel,
176.116.0.0/24,NL,NL-DR,Meppel,
91.239.23.0/24,LV,LV-RIX,Riga,
212.22.75.0/25,LV,LV-RIX,Riga,
195.242.147.0/24,LV,LV-RIX,Riga,
31.222.227.0/24,RU,RU-MOW,Moscow,
94.247.137.0/24,RU,RU-MOW,Moscow,
185.120.56.0/24,RU,RU-MOW,Moscow,
185.120.57.0/24,RU,RU-MOW,Moscow,
185.120.58.0/24,RU,RU-MOW,Moscow,
185.235.230.0/24,RU,RU-MOW,Moscow,
212.22.64.0/24,RU,RU-MOW,Moscow,
212.22.77.0/24,RU,RU-MOW,Moscow,
176.53.146.0/23,RU,RU-MOW,Moscow,
2a0a:2e80::/29,RU,RU-MOW,Moscow,
2a11:8480::/29,RU,RU-MOW,Moscow,
2a11:7e40::/29,RU,RU-MOW,Moscow,
2a11:df40::/29,RU,RU-MOW,Moscow,